pWave1D,pwFinal,pwFit1,pwFit2,pwFit3,pwFit4,pwFit5,pwFit6,pwi0Fit
16,16,16,16,16,16,16,16,16
10000,238552,238552,238552,238552,238552,238552,238552,238552
27,25.091,27,27,27,27,27,25.091,27
0,0,0,0,0,0,0,0,0
291.858,291.858,291.858,291.858,291.858,291.858,291.858,291.858,291.858
290.514,290.514,290.514,290.514,290.514,290.514,290.514,290.514,290.514
290.499,290.499,290.499,290.499,290.499,290.499,290.499,290.499,290.499
290.445,290.445,290.445,290.445,290.445,290.445,290.445,290.445,290.445
290.414,290.414,290.414,290.414,290.414,290.414,290.414,290.414,290.414
290.423,290.423,290.423,290.423,290.423,290.423,290.423,290.423,290.423
290.41,290.41,290.41,290.41,290.41,290.41,290.41,290.41,290.41
291.772,291.772,291.772,291.772,291.772,291.772,291.772,291.772,291.772
291.814,291.814,291.814,291.814,291.814,291.814,291.814,291.814,291.814
290.458,290.458,290.458,290.458,290.458,290.458,290.458,290.458,290.458
290.44,290.44,290.44,290.44,290.44,290.44,290.44,290.44,290.44
290.434,290.434,290.434,290.434,290.434,290.434,290.434,290.434,290.434
290.406,290.406,290.406,290.406,290.406,290.406,290.406,290.406,290.406
290.498,290.498,290.498,290.498,290.498,290.498,290.498,290.498,290.498
290.522,290.522,290.522,290.522,290.522,290.522,290.522,290.522,290.522
291.905,291.905,291.905,291.905,291.905,291.905,291.905,291.905,291.905
284.682,284.698,284.682,284.682,284.725,284.725,284.725,284.698,284.682
0.277277,0.261666,0.277277,0.277277,0.277277,0.277277,0.277277,0.261666,0.277277
0.0403743,0.0765066,0.0786598,0.0775927,0.084546,0.084546,0.084546,0.0765066,0.0403743
4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06,4.80009e-06
0,0,0,0,0,0,0,0,0
0.028305,0.028305,0.028305,0.028305,0.028305,0.028305,0.028305,0.028305,0.028305
27,27,27,27,27,27,27,27,27
0,-0.721436,0,-0.221729,-0.229009,-0.229009,-0.229009,-0.721436,0
285.643,285.61,285.643,285.643,285.601,285.601,285.601,285.61,285.643
0.288767,0.318809,0.288767,0.288767,0.288767,0.288767,0.288767,0.318809,0.288767
0.16609,0.181428,0.161398,0.163078,0.172705,0.172705,0.172705,0.181428,0.16609
1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05,1.89343e-05
0,0,0,0,0,0,0,0,0
0.122905,0.122905,0.122905,0.122905,0.122905,0.122905,0.122905,0.122905,0.122905
27,27,27,27,27,27,27,27,27
0,0.338889,0,-0.00884458,-0.706819,-0.706819,-0.706819,0.338889,0
286.043,286.337,286.043,286.043,286.201,286.201,286.201,286.337,286.043
0.255897,0.224908,0.255897,0.255897,0.255897,0.255897,0.255897,0.224908,0.255897
0.0181083,0.02266,0.024546,0.0239149,0.0296278,0.0296278,0.0296278,0.02266,0.0181083
8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07,8.31573e-07
0,0,0,0,0,0,0,0,0
0.00566051,0.00566051,0.00566051,0.00566051,0.00566051,0.00566051,0.00566051,0.00566051,0.00566051
27,27,27,27,27,27,27,27,27
0,1.97592,0,0.0444074,0.323112,0.323112,0.323112,1.97592,0
286.683,286.837,286.683,286.683,286.739,286.739,286.739,286.837,286.683
0.272103,0.269261,0.272103,0.272103,0.272103,0.272103,0.272103,0.269261,0.272103
0.0110829,0.0254184,0.0281151,0.0264731,0.0255508,0.0255508,0.0255508,0.0254184,0.0110829
1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06,1.0666e-06
0,0,0,0,0,0,0,0,0
0.0071411,0.0071411,0.0071411,0.0071411,0.0071411,0.0071411,0.0071411,0.0071411,0.0071411
27,27,27,27,27,27,27,27,27
0,-3.85401,0,-1.70877,-2.80572,-2.80572,-2.80572,-3.85401,0
287.323,287.505,287.323,287.323,287.531,287.531,287.531,287.505,287.323
0.313051,0.253475,0.313051,0.313051,0.313051,0.313051,0.313051,0.253475,0.313051
0.0877859,0.0564544,0.051439,0.0515749,0.079164,0.079164,0.079164,0.0564544,0.0877859
0.00765337,0.00765337,0.00765337,0.00765337,0.00765337,0.00765337,0.00765337,0.00765337,0.00765337
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.00765337,0.00765337,0.00765337,0.00765337,0.00765337,0.00765337,0.00765337,0.00765337,0.00765337
0,0,0,0,0,0,0,0,0
0.0543829,0.0543829,0.0543829,0.0543829,0.0543829,0.0543829,0.0543829,0.0543829,0.0543829
27,27,27,27,27,27,27,27,27
0,2.7221,0,1.08802,1.50562,1.50562,1.50562,2.7221,0
287.844,287.785,287.844,287.844,287.757,287.757,287.757,287.785,287.844
0.260735,0.433019,0.260735,0.260735,0.260735,0.260735,0.260735,0.433019,0.260735
0.00549251,0.0186065,0.0311258,0.0280353,-1.29757e-15,-1.29757e-15,-1.29757e-15,0.0186065,0.00549251
2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05,2.35021e-05
0,0,0,0,0,0,0,0,0
0.00307364,0.00307364,0.00307364,0.00307364,0.00307364,0.00307364,0.00307364,0.00307364,0.00307364
27,27,27,27,27,27,27,27,27
0,-26.3739,0,-8.72148,-15.2946,-15.2946,-15.2946,-26.3739,0
288.284,288.265,288.284,288.284,288.383,288.383,288.383,288.265,288.284
0.333241,0.300109,0.333241,0.333241,0.333241,0.333241,0.333241,0.300109,0.333241
0.0339451,0.0219438,0.0246707,0.021546,0.0294173,0.0294173,0.0294173,0.0219438,0.0339451
0.005478,0.005478,0.005478,0.005478,0.005478,0.005478,0.005478,0.005478,0.005478
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.005478,0.005478,0.005478,0.005478,0.005478,0.005478,0.005478,0.005478,0.005478
0,0,0,0,0,0,0,0,0
0.0110385,0.0110385,0.0110385,0.0110385,0.0110385,0.0110385,0.0110385,0.0110385,0.0110385
27,27,27,27,27,27,27,27,27
0,18.859,0,5.8288,6.22142,6.22142,6.22142,18.859,0
288.804,288.742,288.804,288.804,288.956,288.956,288.956,288.742,288.804
0.260433,0.322951,0.260433,0.260433,0.260433,0.260433,0.260433,0.322951,0.260433
0.0450547,0.012694,0.0318747,0.0203352,0.021915,0.021915,0.021915,0.012694,0.0450547
2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07,2.32878e-07
0,0,0,0,0,0,0,0,0
0.0264102,0.0264102,0.0264102,0.0264102,0.0264102,0.0264102,0.0264102,0.0264102,0.0264102
27,27,27,27,27,27,27,27,27
0,-66.9403,0,-29.1318,-23.6597,-23.6597,-23.6597,-66.9403,0
289.444,289.373,289.444,289.444,289.503,289.503,289.503,289.373,289.444
0.336973,0.433704,0.336973,0.336973,0.336973,0.336973,0.336973,0.433704,0.336973
0.0621148,0.0846876,0.104984,0.0848913,0.0649777,0.0649777,0.0649777,0.0846876,0.0621148
0.00237968,0.00237968,0.00237968,0.00237968,0.00237968,0.00237968,0.00237968,0.00237968,0.00237968
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.00237968,0.00237968,0.00237968,0.00237968,0.00237968,0.00237968,0.00237968,0.00237968,0.00237968
0,0,0,0,0,0,0,0,0
0.0290867,0.0290867,0.0290867,0.0290867,0.0290867,0.0290867,0.0290867,0.0290867,0.0290867
27,27,27,27,27,27,27,27,27
0,-5.23442,0,-5.3907,-4.43501,-4.43501,-4.43501,-5.23442,0
290.645,290.437,290.645,290.645,290.384,290.384,290.384,290.437,290.645
0.426689,0.54158,0.426689,0.426689,0.426689,0.426689,0.426689,0.54158,0.426689
0.0937109,0.0853372,0.102237,0.0801616,0.0385739,0.0385739,0.0385739,0.0853372,0.0937109
0.00525105,0.00525105,0.00525105,0.00525105,0.00525105,0.00525105,0.00525105,0.00525105,0.00525105
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.00525105,0.00525105,0.00525105,0.00525105,0.00525105,0.00525105,0.00525105,0.00525105,0.00525105
0,0,0,0,0,0,0,0,0
0.0738922,0.0738922,0.0738922,0.0738922,0.0738922,0.0738922,0.0738922,0.0738922,0.0738922
27,27,27,27,27,27,27,27,27
0,-11.4468,0,-8.63309,-16.2797,-16.2797,-16.2797,-11.4468,0
292.206,291.685,292.206,292.206,290.65,290.65,290.65,291.685,292.206
0.874937,0.663085,0.874937,0.874937,0.874937,0.874937,0.874937,0.663085,0.874937
0.0875994,0.0389822,0.0469356,0.0588901,0.0874289,0.0874289,0.0874289,0.0389822,0.0875994
0.063259,0.063259,0.063259,0.063259,0.063259,0.063259,0.063259,0.063259,0.063259
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.063259,0.063259,0.063259,0.063259,0.063259,0.063259,0.063259,0.063259,0.063259
0,0,0,0,0,0,0,0,0
0.0224725,0.0224725,0.0224725,0.0224725,0.0224725,0.0224725,0.0224725,0.0224725,0.0224725
27,27,27,27,27,27,27,27,27
0,70.742,0,42.9859,64.1109,64.1109,64.1109,70.742,0
293.767,293.003,293.767,293.767,293.062,293.062,293.062,293.003,293.767
0.975533,1.04429,0.975533,0.975533,0.975533,0.975533,0.975533,1.04429,0.975533
0.0626374,0.0714566,0.050417,0.0572499,0.0653113,0.0653113,0.0653113,0.0714566,0.0626374
0.0626072,0.0626072,0.0626072,0.0626072,0.0626072,0.0626072,0.0626072,0.0626072,0.0626072
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.0626072,0.0626072,0.0626072,0.0626072,0.0626072,0.0626072,0.0626072,0.0626072,0.0626072
0,0,0,0,0,0,0,0,0
0.0260945,0.0260945,0.0260945,0.0260945,0.0260945,0.0260945,0.0260945,0.0260945,0.0260945
27,27,27,27,27,27,27,27,27
0,-7.93934,0,-22.1549,-8.24516,-8.24516,-8.24516,-7.93934,0
295.327,295.223,295.327,295.327,295.098,295.098,295.098,295.223,295.327
1.24385,1.29241,1.24385,1.24385,1.24385,1.24385,1.24385,1.29241,1.24385
0.0599534,0.0808991,0.065395,0.0645465,0.08815,0.08815,0.08815,0.0808991,0.0599534
0.0696508,0.0696508,0.0696508,0.0696508,0.0696508,0.0696508,0.0696508,0.0696508,0.0696508
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.0696508,0.0696508,0.0696508,0.0696508,0.0696508,0.0696508,0.0696508,0.0696508,0.0696508
0,0,0,0,0,0,0,0,0
0.0126718,0.0126718,0.0126718,0.0126718,0.0126718,0.0126718,0.0126718,0.0126718,0.0126718
27,27,27,27,27,27,27,27,27
0,-16.7603,0,-6.02395,-5.57195,-5.57195,-5.57195,-16.7603,0
298.289,298.437,298.289,298.289,298.429,298.429,298.429,298.437,298.289
2.01774,2.24807,2.01774,2.01774,2.01774,2.01774,2.01774,2.24807,2.01774
0.0948234,0.117361,0.115813,0.12524,0.118669,0.118669,0.118669,0.117361,0.0948234
0.190469,0.190469,0.190469,0.190469,0.190469,0.190469,0.190469,0.190469,0.190469
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.190469,0.190469,0.190469,0.190469,0.190469,0.190469,0.190469,0.190469,0.190469
0,0,0,0,0,0,0,0,0
0.0759723,0.0759723,0.0759723,0.0759723,0.0759723,0.0759723,0.0759723,0.0759723,0.0759723
27,27,27,27,27,27,27,27,27
0,-21.8154,0,-21.3726,-16.2161,-16.2161,-16.2161,-21.8154,0
303.652,303.41,303.652,303.652,303.424,303.424,303.424,303.41,303.652
3.19301,3.36971,3.19301,3.19301,3.19301,3.19301,3.19301,3.36971,3.19301
0.0852821,0.243347,0.206494,0.234849,0.239927,0.239927,0.239927,0.243347,0.0852821
0.231754,0.231754,0.231754,0.231754,0.231754,0.231754,0.231754,0.231754,0.231754
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.231754,0.231754,0.231754,0.231754,0.231754,0.231754,0.231754,0.231754,0.231754
0,0,0,0,0,0,0,0,0
0.143457,0.143457,0.143457,0.143457,0.143457,0.143457,0.143457,0.143457,0.143457
27,27,27,27,27,27,27,27,27
0,-31.7534,0,-31.5138,-18.6751,-18.6751,-18.6751,-31.7534,0
308.454,310.264,308.454,308.454,309.892,309.892,309.892,310.264,308.454
3.59679,3.61917,3.59679,3.59679,3.59679,3.59679,3.59679,3.61917,3.59679
0.0148791,0.0664001,0.0578696,0.0459274,0.04643,0.04643,0.04643,0.0664001,0.0148791
0.072647,0.072647,0.072647,0.072647,0.072647,0.072647,0.072647,0.072647,0.072647
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.072647,0.072647,0.072647,0.072647,0.072647,0.072647,0.072647,0.072647,0.072647
0,0,0,0,0,0,0,0,0
0.0146992,0.0146992,0.0146992,0.0146992,0.0146992,0.0146992,0.0146992,0.0146992,0.0146992
27,27,27,27,27,27,27,27,27
0,-33.4901,0,-11.6971,-53.8587,-53.8587,-53.8587,-33.4901,0
314.897,324.132,314.897,314.897,324.58,324.58,324.58,324.132,314.897
4.83928,9.34108,4.83928,4.83928,4.83928,4.83928,4.83928,9.34108,4.83928
0.0607553,0.0765622,0.0634481,0.0700901,0.0527448,0.0527448,0.0527448,0.0765622,0.0607553
0.147529,0.147529,0.147529,0.147529,0.147529,0.147529,0.147529,0.147529,0.147529
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.147529,0.147529,0.147529,0.147529,0.147529,0.147529,0.147529,0.147529,0.147529
0,0,0,0,0,0,0,0,0
0.283058,0.283058,0.283058,0.283058,0.283058,0.283058,0.283058,0.283058,0.283058
27,27,27,27,27,27,27,27,27
0,-4.09265,0,-7.61589,8.28542,8.28542,8.28542,-4.09265,0
